"id","title","body","leaders","banner","code","color","member","tw_link","tw_link_title","fb_link","fb_link_title","fb_link_title","li_link","li_link_title","web_link","web_link_title"
11,"Colorado","The Colorado Travel Massive is a regular meet-up alternating between Boulder and Denver that brings together travel brands, travel startups, adventure and ski travel companies, bloggers/journalists and anyone involved in the travel industry. Drinks are usually sponsored if you get there early enough.",4,,"COL","#B5B4C1","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
12,"Chicago","Chicago is home to many of the country’s most notable travel companies from airlines and hotel chains to online travel agents and tour operators. Chicago’s Travel Massive will connect executives at these companies with the city's vibrant travel blogging and journalism community. We plan to meet bi-monthly for networking and education events.",5,,"CHI","#38EF72","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
13,"Dublin","Since it's launch in October 2013, the Dublin Travel Massive is a regular for anybody in the online travel industry in the Irish capital...and there's a lot of them. Dublin is home to some of online travel's most innovative companies, while many of world's heavy hitters who have their European headquarters here - think Airbnb, Hostelworld and Facebook (the most shared type of content on Facebook is travel!). ",6,,"DUB","#49DFBB","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
14,"Hong Kong","Hong Kong combines some of the best tourism infrastructure in the world with a strong entrepreneurial culture to make this gateway to China an excellent place to establish and grow travel ventures. ",7,,"HKG","#99C0FA","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
15,"Houston ","The style-savvy residents of the country’s fourth-largest city know that there’s no place quite like Houston. With more than 2.2 million residents, the city attracts visitors from all over the world and transplants with a wonderful mix of world-class arts, booming business, pro sports and award-winning cuisine.",8,"houston.jpg","HOU","#D9D87C","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
16,"Kiev","Kiev is the capital and the largest city in Ukraine. The city is one of the important industrial, scientific and educational centers in Eastern Europe. Travel Massive meeting will be informal during which everyone will have a great opportunity to meet and communicate with start-ups, established travel companies, press and social media and everyone who is interested in travel business.",9,,"KIE","#62117D","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
17,"London","Visiting a new venue in the UK capital every month, London Travel Massive is a regular meetup of startups, journos, bloggers, PRs, established travel companies and the curious. No agenda, just quality and simple networking.",2,,"LON","#3A61AD","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
18,"Los Angeles","Travel Massive LA is a group of like minded travel professionals who seek opportunities to grow their community through events and networking. We desire to make our events inclusive of all levels of the travel industry. From the Travel Executive and Tourism Board all the way to the consumer to build and maintain long lasting relationships.",3,,"LAX","#4E71D2","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
19,"Manchester","One of the UK's fastest growing cities, Manchester is a vibrant destination with a major international airport, excellent transport links and two world-renowned football clubs. The Manchester Travel Massive aims to bring together travel bloggers, writers, brands and startups based in the north of the UK.",4,,"MAN","#D6C97B","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
20,"Manila","The vibrant city of Manila kickstarts the Philippines' first Travel Massive. The plan is to place travel junkies, weekenders, backpackers, travel companies bloggers- everyone who is passionate about travel- in one venue! We aim to expand Travel Massive in the Philippines, one island at a time.",5,,"MNL","#4551EC","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
21,"Maui","The readers of Conde Naste magazine have voted Maui as the best island in the world an unprecedented 19 times. Join local travel industry professionals as well as visiting writers and bloggers as we meet and talk travel in the middle of the Pacific.",6,,"MAU","#D4FF66","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
22,"Melbourne","Melbourne has a buzzing travel scene and the Melbourne Travel Massive draws a cool crowd of startups, bloggers, and fly-ins from big travel brands down-under.",7,,"MLB","#D903BB","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
23,"Milan","Known as the Fashion Capital, Milan breath tradition and innovation. Chaotic and frenetic, seeking an equilibrium between Italian culture and a strong international desire. Home of international businesses and dynamic startups. A place to discover with locals after business hours, wandering around, bar by bar, enjoying all its contradictions.",8,"milan.jpg","MIL","#1F9816","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
24,"Montreal","Named the 'Europe of North America' Montreal attracts millions of tourists each year, especially during Summer for the Just for Laughs and International Jazz Festivals. 'La belle province' is also home to a growing collection of travel innovators and startups.",9,,"MON","#BED784","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
25,"Moscow","Moscow, the business and cultural center of Russia, is a huge megapolis with a high pace of life and a big amount of events going on. The city has an uprising and growing travel community of travel bureaus, services and bloggers.",2,,"MOS","#3CA8E8","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
26,"New York City","Meeting once every month in Manhattan, the New York Travel Massive brings together startups, established travel companies, travel media, journalists, bloggers, PRs and the travel industry community to meet, network, and talk travel. ",3,,"NYC","#4CD3B3","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
27,"Oslo ","Oslo will see its first ever Travel Massive in the autumn of 2014, and you are invited! Oslo is the perfect hub for the first meet-up in Norway with convenient connections to rest of the country (and world!) to gather travel industry professionals, media and bloggers together for an exciting evening.",4,"oslo.jpg","OSL","#A8DBC9","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
28,"Ottawa","Ottawa is the capital of Canada and along with Calgary has the highest occupancy rates in Canada. The city attracts people from a range of areas including personal travel, sports events and meetings and conventions. As such the travel industry here is diverse. The Travel Massive is an opportunity for people working in travel sector in Ottawa to meet-up and network on a regular basis. Meetings take place on the second Thursday of each month.",5,,"OTT","#6D8F6A","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
29,"Paris","Paris boasts some of world's best tourist attractions, a flurry of creative startups, big travel brands, bloggers in every language, and a continuous flow of travel industry folks who just happen to be around. Innovation, startup pitches, demos and tech.",6,,"PAR","#618380","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
30,"Philadelphia ","As the birthplace of America, Philadelphia is a city that draws tourists from around the globe to celebrate the founding of a nation. Philadelphia travel massive is a group that brings together travel professionals and brands to talk about topics and trends within the industry.",7,"philadelphia.jpg","PHL","#8BC24B","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
31,"Portland","Located in the Pacific Northwest of the United States, Portland is a vibrant city known for its bohemian culture, innumerable breweries, unparalleled organic cuisine, and environmental consciousness. The mix of its serene natural beauty and colorful city life continues to draw in a diverse group of artists, writers, and travelers. Portland Travel Massive aims to gather many different faces of the travel industry, providing a valuable platform for human connection.",8,"portland.jpg","PDX","#B878C3","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
32,"Prague","In 2013 Travel Massive is coming to Prague, one of the most exciting and beautiful cities in Europe! Monthly meet up for travel start ups bloggers, journos, travel industry community and alike.",9,,"PRG","#C7CA28","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
33,"Rome","Rome, the eternal city. The soul of the western culture. Walking in the street your fantasy can fly form the ancient romans to the Renaissance. All the biggest artists of the history had left some treasure in that city. Traditions are the most interesting aspects of Rome. Italians are all very different and in the capital you can have a touch of all flavours. In the last years a lot of popular areas were been renovated now they are bohemian district or artists neighbourhoods",2,"rome.jpg","ROM","#386C8C","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
34,"Saigon","Vietnam is one of the worlds fastest growing travel industries and Saigon is it's commercial and digital hub. Travel Massive Saigon is for burgeoning and international online travel companies, hotels and airlines to meet in an informal setting, network and share a drink or two.",3,,"SAI","#6EDE16","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
35,"Saint Petersburg","Saint Petersburg is a major tourist attraction in Russia, the second biggest city and cultural capital of the country. Tourism is developing rapidly here due to a rich historical heritage and proximity to European Union It is home to some travel startups and bloggers.",4,,"SPG","#F92CC6","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
36,"Salt Lake City","Salt Lake City is a mecca for outdoors lovers with vibrant climbing, hiking, horseback riding, and mountain biking communities in the summer and the best snow on Earth in the wither. The Salt Lake City travel massive was founded with the goal of connecting the numerous tour operators, destination marketers, and travel product vendors in the greater Salt Lake City area.",5,"slc.jpg","SLC","#77FEFC","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
37,"San Diego","San Diego is now part of the Travel Massive family! Travel bloggers, press, social media aficionados, adventure and outdoor travel companies or anyone involved in the travel industry are invited to join. We’ll have monthly meetings in a beach and brew setting conducive for starting interesting conversations and new connections. We’re here to build a strong travel community in the heart of San Diego.",6,,"SDG","#1B3D65","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
38,"San Francisco","Right in the heart of the tech-world, the San Francisco Travel Massive draw a huge startup and travel tech crowd as well as business advisors from established travel brands.",7,,"SFO","#69EC66","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
39,"São Paulo ","São Paulo is South America's largest city, and Brazil's business, cultural and gastronomic center. Because of this, we have some of the country's most talented artists, business people, chefs, and of course, travel professionals. The travel industry here attends to all Brazilians, not unlike other industries in the country, being the center of all the action.",8,"saopaulo.jpg","SPA","#8C46B6","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
40,"Seattle","Travel Massive comes to Seattle, home of the grand-daddy of all travel innovation. Starting with quarterly events, Travel Massive Seattle will be a vibrant community for start-ups, established travel companies and bloggers who are passionate about the travel industry.",9,,"SEA","#DA0F6C","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
41,"Stockholm","Modern and eco-friendly with an exploding start-up scene, Stockholm has creatively merged its residents' passion for responsible outdoor living and archipelago island hopping with cutting edge art, new Nordic cuisine, and innovative Swedish design making it one of the most dynamic travel destinations on the continent.",2,,"SCK","#6D36C3","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
42,"Switzerland","Travel Massive Switzerland brings together travel companies, startups, journalists, bloggers, travel media, PRs, brands, volunteers... and all those with a passion for travel. Switzerland is a land of many opportunities and positive differences, and our aim is to cross language and culture barriers to bring up the best of its world: that is why our quarterly event will be itinerant. From Geneva to Zürich, and why not Bern, Lugano or the snowy top of a mountain? ",3,,"SWI","#2EF6B5","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
43,"Sydney","Home to a few of the world's largest online travel companies and Travel Massive's first stomping ground, Sydney has a thriving travel blogging and startup crowd that loves sun, surf, and travel.",4,,"SYD","#C1EAE4","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
44,"Taipei ","The very first Taipei Travel Massive will be happening in August, bring together startups, travel tech groups and advisors from established travel brands.",5,"taipei.jpg","TPE","#1616DD","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
45,"Tel Aviv","Tel Aviv is Israel's second most populous city and one of the world's leading and important innovation hubs. With so many travel tech startups and tourism practitioners working in the city it's only natural for Travel Massive to have meetups here.",6,,"TLV","#CA7CAE","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
46,"Toronto","Started in 2010, Toronto was the second Travel Massive city to launch after the inaugural meet-up in Sydney, Australia. Toronto regularly attracts upwards of 80 people monthly in the online travel industry with a focus on travel bloggers and vloggers, travel PR and marketing reps, DMOs and international tourism boards, as well as global sponsors like Intrepid Travel, Flight Centre, G Adventures, Expedia, and Google.",7,,"TOR","#91CD79","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
47,"Vancouver","Vancouver is one of the most beautiful cities in the World and boasts a variety of restaurants and pubs that are excellent for our monthly meet-ups. Travel Massive Vancouver has an engaged and experienced organizing team and they have partnered with one of Vancouver's premiere hospitality companies.  Each monthly meet-up is held at one of twelve (and growing) trendy pubs located around the Vancouver Downtown area.  The Vancouver meet-up attracts a variety of travel industry professionals, bloggers, technology people, and those interested in travel.  If you are visiting Vancouver, don't hesitate to check out our upcoming events and come visit!",8,,"VAN","#0A7F03","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
48,"Warsaw ","Warsaw is one of the most influential capitals of Eastern Europe. Economic, political, and cultural centre of Poland! City full of contrast and marvels, a place where a new chapter of Travel Massive is about to be born.",9,"warsaw.jpg","WAW","#4D5383","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
49,"Washington D.C.","Tourist crowds on the National Mall aren’t the only ones putting Washington on the travel map. Travel Massive D.C. connects the area’s media brands, travel associations, hospitality reps, publishers, writers, bloggers, PR reps and more.",2,,"WAS","#89AA07","6|7|8|9","http://twitter.com","Twitter profile","http://facebook.com/hello/helo/gelo","Facebook profile","http://linkedin.com/this/is/a/very/long/link/that-will-be-cut","flipside.org","Flipside","flipside.org","Flipside"
